Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 0, 0, 0, 0, 0, 2, 0 
0.000000, 0, 0, 0, 0, 0, 3, 0 
0.000000, 2, 0, 0, 0, 0, 3, 1 
0.000000, 2, 0, 0, 0, 0, 4, 1 
0.000000, 2, 0, 0, 0, 0, 5, 1 
0.000000, 4, 0, 0, 0, 0, 5, 2 
0.000000, 4, 0, 0, 0, 0, 6, 2 
0.000000, 4, 0, 0, 0, 0, 7, 2 
0.000000, 4, 0, 0, 0, 0, 8, 2 
0.000000, 4, 0, 0, 0, 0, 9, 2 
0.000000, 4, 0, 0, 0, 0, 10, 2 
0.000000, 4, 0, 0, 0, 0, 11, 2 
0.000000, 4, 0, 0, 0, 0, 12, 2 
0.000000, 4, 0, 0, 0, 0, 13, 2 
0.000000, 4, 0, 0, 0, 0, 14, 2 
0.000000, 6, 0, 0, 0, 0, 14, 3 
0.000000, 6, 0, 0, 0, 0, 15, 3 
0.000000, 6, 0, 0, 0, 0, 16, 3 
0.000000, 6, 0, 0, 0, 0, 17, 3 
0.000000, 6, 0, 0, 0, 0, 18, 3 
0.000000, 8, 0, 0, 0, 0, 18, 4 
0.000000, 8, 0, 0, 0, 0, 19, 4 
0.000000, 8, 0, 0, 0, 0, 20, 4 
0.000000, 8, 0, 0, 0, 0, 21, 4 
0.000000, 10, 0, 0, 0, 0, 21, 5 
0.000000, 10, 0, 0, 0, 0, 22, 5 
0.000000, 10, 0, 0, 0, 0, 23, 5 
0.000000, 10, 0, 0, 0, 0, 24, 5 
0.000000, 12, 0, 0, 0, 0, 24, 6 
0.000000, 12, 0, 0, 0, 0, 25, 6 
0.000000, 14, 0, 0, 0, 0, 25, 7 
0.000000, 14, 0, 0, 0, 0, 26, 7 
0.000000, 16, 0, 0, 0, 0, 26, 8 
0.000000, 16, 0, 0, 0, 0, 27, 8 
0.000000, 18, 0, 0, 0, 0, 27, 9 
0.000000, 18, 0, 0, 0, 0, 28, 9 
0.000000, 18, 0, 0, 0, 0, 29, 9 
0.000000, 18, 0, 0, 0, 0, 30, 9 
0.000000, 18, 0, 0, 0, 0, 31, 9 
0.000000, 18, 0, 0, 0, 0, 32, 9 
0.000000, 20, 0, 0, 0, 0, 32, 10 
0.000000, 20, 0, 0, 0, 0, 33, 10 
0.000000, 20, 0, 0, 0, 0, 34, 10 
0.000000, 20, 0, 0, 0, 0, 35, 10 
0.000000, 22, 0, 0, 0, 0, 35, 11 
0.000000, 22, 0, 0, 0, 0, 36, 11 
0.000000, 22, 0, 0, 0, 0, 37, 11 
0.000000, 22, 0, 0, 0, 0, 38, 11 
0.000000, 24, 0, 0, 0, 0, 38, 12 
0.000000, 24, 0, 0, 0, 0, 39, 12 
0.000000, 24, 0, 0, 0, 0, 40, 12 
0.000000, 24, 0, 0, 0, 0, 41, 12 
0.000000, 24, 0, 0, 0, 0, 42, 12 
0.000000, 24, 0, 0, 0, 0, 43, 12 
0.000000, 26, 0, 0, 0, 0, 43, 13 
0.000000, 26, 0, 0, 0, 0, 44, 13 
0.000000, 28, 0, 0, 0, 0, 44, 14 
0.000000, 28, 0, 0, 0, 0, 45, 14 
0.000000, 30, 0, 0, 0, 0, 45, 15 
0.000000, 30, 0, 0, 0, 0, 46, 15 
0.000000, 30, 0, 0, 0, 0, 47, 15 
0.000000, 30, 0, 0, 0, 0, 48, 15 
0.000000, 30, 0, 0, 0, 0, 49, 15 
0.000000, 30, 0, 0, 0, 0, 50, 15 
0.000000, 32, 0, 0, 0, 0, 50, 16 
0.000000, 32, 0, 0, 0, 0, 51, 16 
0.000000, 32, 0, 0, 0, 0, 52, 16 
0.000000, 32, 0, 0, 0, 0, 53, 16 
0.000000, 34, 0, 0, 0, 0, 53, 17 
0.000000, 34, 0, 0, 0, 0, 54, 17 
0.000000, 34, 0, 0, 0, 0, 55, 17 
0.000000, 36, 0, 0, 0, 0, 55, 18 
0.000000, 36, 0, 0, 0, 0, 56, 18 
0.000000, 36, 0, 0, 0, 0, 57, 18 
0.000000, 36, 0, 0, 0, 0, 58, 18 
0.000000, 36, 0, 0, 0, 0, 59, 18 
0.000000, 36, 0, 0, 0, 0, 60, 18 
0.000000, 36, 0, 0, 0, 0, 61, 18 
0.000000, 38, 0, 0, 0, 0, 61, 19 
0.000000, 38, 0, 0, 0, 0, 62, 19 
0.000000, 38, 0, 0, 0, 0, 63, 19 
0.000000, 38, 0, 0, 0, 0, 64, 19 
0.000000, 38, 0, 0, 0, 0, 65, 19 
0.000000, 38, 0, 0, 0, 0, 66, 19 
0.000000, 38, 0, 0, 0, 0, 67, 19 
0.000000, 38, 0, 0, 0, 0, 68, 19 
0.000000, 38, 0, 0, 0, 0, 69, 19 
0.000000, 40, 0, 0, 0, 0, 69, 20 
0.000000, 40, 0, 0, 0, 0, 70, 20 
0.000000, 40, 0, 0, 0, 0, 71, 20 
0.000000, 40, 0, 0, 0, 0, 72, 20 
0.000000, 40, 0, 0, 0, 0, 73, 20 
0.000000, 40, 0, 0, 0, 0, 74, 20 
0.000000, 42, 0, 0, 0, 0, 74, 21 
0.000000, 42, 0, 0, 0, 0, 75, 21 
0.000000, 42, 0, 0, 0, 0, 76, 21 
0.000000, 42, 0, 0, 0, 0, 77, 21 
0.000000, 44, 0, 0, 0, 0, 77, 22 
0.000000, 44, 0, 0, 0, 0, 78, 22 
0.000000, 44, 0, 0, 0, 0, 79, 22 
0.000000, 46, 0, 0, 0, 0, 79, 23 
0.000000, 46, 0, 0, 0, 0, 80, 23 
0.000000, 48, 0, 0, 0, 0, 80, 24 
0.000000, 48, 0, 0, 0, 0, 81, 24 
0.000000, 48, 0, 0, 0, 0, 82, 24 
0.000000, 48, 0, 0, 0, 0, 83, 24 
0.000000, 50, 0, 0, 0, 0, 83, 25 
0.000000, 50, 0, 0, 0, 0, 84, 25 
0.000000, 50, 0, 0, 0, 0, 85, 25 
0.000000, 50, 0, 0, 0, 0, 86, 25 
0.000000, 52, 0, 0, 0, 0, 86, 26 
0.000000, 52, 0, 0, 0, 0, 87, 26 
0.000000, 54, 0, 0, 0, 0, 87, 27 
0.000000, 54, 0, 0, 0, 0, 88, 27 
0.000000, 54, 0, 0, 0, 0, 89, 27 
0.000000, 54, 0, 0, 0, 0, 90, 27 
0.000000, 54, 0, 0, 0, 0, 91, 27 
0.000000, 54, 0, 0, 0, 0, 92, 27 
