0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 0, 0, 0, 0, 0, 2, 0 
0.000000, 0, 0, 0, 0, 0, 3, 0 
0.000000, 2, 0, 0, 0, 0, 3, 1 
0.000000, 2, 0, 0, 0, 0, 4, 1 
0.000000, 2, 0, 0, 0, 0, 5, 1 
0.000000, 4, 0, 0, 0, 0, 5, 2 
0.000000, 4, 0, 0, 0, 0, 6, 2 
0.000000, 4, 0, 0, 0, 0, 7, 2 
0.000000, 6, 0, 0, 0, 0, 7, 3 
0.000000, 6, 0, 0, 0, 0, 8, 3 
0.000000, 6, 0, 0, 0, 0, 9, 3 
0.000000, 8, 0, 0, 0, 0, 9, 4 
0.000000, 8, 0, 0, 0, 0, 10, 4 
0.000000, 10, 0, 0, 0, 0, 10, 5 
0.000000, 10, 0, 0, 0, 0, 11, 5 
0.000000, 10, 0, 0, 0, 0, 12, 5 
0.000000, 10, 0, 0, 0, 0, 13, 5 
0.000000, 10, 0, 0, 0, 0, 14, 5 
0.000000, 10, 0, 0, 0, 0, 15, 5 
0.000000, 12, 0, 0, 0, 0, 15, 6 
0.000000, 12, 0, 0, 0, 0, 16, 6 
0.000000, 12, 0, 0, 0, 0, 17, 6 
0.000000, 12, 0, 0, 0, 0, 18, 6 
0.000000, 14, 0, 0, 0, 0, 18, 7 
0.000000, 14, 0, 0, 0, 0, 19, 7 
0.000000, 16, 0, 0, 0, 0, 19, 8 
0.000000, 16, 0, 0, 0, 0, 20, 8 
0.000000, 16, 0, 0, 0, 0, 21, 8 
0.000000, 16, 0, 0, 0, 0, 22, 8 
0.000000, 18, 0, 0, 0, 0, 22, 9 
0.000000, 18, 0, 0, 0, 0, 23, 9 
0.000000, 18, 0, 0, 0, 0, 24, 9 
0.000000, 18, 0, 0, 0, 0, 25, 9 
0.000000, 18, 0, 0, 0, 0, 26, 9 
0.000000, 18, 0, 0, 0, 0, 27, 9 
0.000000, 18, 0, 0, 0, 0, 28, 9 
0.000000, 20, 0, 0, 0, 0, 28, 10 
0.000000, 20, 0, 0, 0, 0, 29, 10 
0.000000, 20, 0, 0, 0, 0, 30, 10 
0.000000, 22, 0, 0, 0, 0, 30, 11 
0.000000, 22, 0, 0, 0, 0, 31, 11 
0.000000, 22, 0, 0, 0, 0, 32, 11 
0.000000, 24, 0, 0, 0, 0, 32, 12 
0.000000, 24, 0, 0, 0, 0, 33, 12 
0.000000, 24, 0, 0, 0, 0, 34, 12 
0.000000, 26, 0, 0, 0, 0, 34, 13 
0.000000, 26, 0, 0, 0, 0, 35, 13 
0.000000, 28, 0, 0, 0, 0, 35, 14 
0.000000, 28, 0, 0, 0, 0, 36, 14 
0.000000, 28, 0, 0, 0, 0, 37, 14 
0.000000, 30, 0, 0, 0, 0, 37, 15 
0.000000, 30, 0, 0, 0, 0, 38, 15 
0.000000, 30, 0, 0, 0, 0, 39, 15 
0.000000, 32, 0, 0, 0, 0, 39, 16 
0.000000, 32, 0, 0, 0, 0, 40, 16 
0.000000, 32, 0, 0, 0, 0, 41, 16 
0.000000, 34, 0, 0, 0, 0, 41, 17 
0.000000, 34, 0, 0, 0, 0, 42, 17 
0.000000, 34, 0, 0, 0, 0, 43, 17 
0.000000, 36, 0, 0, 0, 0, 43, 18 
0.000000, 36, 0, 0, 0, 0, 44, 18 
0.000000, 36, 0, 0, 0, 0, 45, 18 
0.000000, 36, 0, 0, 0, 0, 46, 18 
0.000000, 36, 0, 0, 0, 0, 47, 18 
0.000000, 36, 0, 0, 0, 0, 48, 18 
0.000000, 36, 0, 0, 0, 0, 49, 18 
0.000000, 38, 0, 0, 0, 0, 49, 19 
0.000000, 38, 0, 0, 0, 0, 50, 19 
0.000000, 40, 0, 0, 0, 0, 50, 20 
0.000000, 40, 0, 0, 0, 0, 51, 20 
0.000000, 42, 0, 0, 0, 0, 51, 21 
0.000000, 42, 0, 0, 0, 0, 52, 21 
0.000000, 44, 0, 0, 0, 0, 52, 22 
0.000000, 44, 0, 0, 0, 0, 53, 22 
0.000000, 46, 0, 0, 0, 0, 53, 23 
0.000000, 46, 0, 0, 0, 0, 54, 23 
0.000000, 48, 0, 0, 0, 0, 54, 24 
0.000000, 48, 0, 0, 0, 0, 55, 24 
0.000000, 50, 0, 0, 0, 0, 55, 25 
0.000000, 50, 0, 0, 0, 0, 56, 25 
0.000000, 50, 0, 0, 0, 0, 57, 25 
0.000000, 50, 0, 0, 0, 0, 58, 25 
0.000000, 50, 0, 0, 0, 0, 59, 25 
0.000000, 52, 0, 0, 0, 0, 59, 26 
0.000000, 52, 0, 0, 0, 0, 60, 26 
0.000000, 54, 0, 0, 0, 0, 60, 27 
0.000000, 54, 0, 0, 0, 0, 61, 27 
0.000000, 54, 0, 0, 0, 0, 62, 27 
0.000000, 56, 0, 0, 0, 0, 62, 28 
0.000000, 56, 0, 0, 0, 0, 63, 28 
0.000000, 58, 0, 0, 0, 0, 63, 29 
0.000000, 58, 0, 0, 0, 0, 64, 29 
0.000000, 58, 0, 0, 0, 0, 65, 29 
0.000000, 60, 0, 0, 0, 0, 65, 30 
0.000000, 60, 0, 0, 0, 0, 66, 30 
0.000000, 60, 0, 0, 0, 0, 67, 30 
0.000000, 60, 0, 0, 0, 0, 68, 30 
0.000000, 62, 0, 0, 0, 0, 68, 31 
0.000000, 62, 0, 0, 0, 0, 69, 31 
0.000000, 64, 0, 0, 0, 0, 69, 32 
0.000000, 64, 0, 0, 0, 0, 70, 32 
0.000000, 64, 0, 0, 0, 0, 71, 32 
0.000000, 64, 0, 0, 0, 0, 72, 32 
0.000000, 66, 0, 0, 0, 0, 72, 33 
0.000000, 66, 0, 0, 0, 0, 73, 33 
0.000000, 68, 0, 0, 0, 0, 73, 34 
0.000000, 68, 0, 0, 0, 0, 74, 34 
0.000000, 68, 0, 0, 0, 0, 75, 34 
0.000000, 68, 0, 0, 0, 0, 76, 34 
0.000000, 70, 0, 0, 0, 0, 76, 35 
0.000000, 70, 0, 0, 0, 0, 77, 35 
0.000000, 70, 0, 0, 0, 0, 78, 35 
0.000000, 72, 0, 0, 0, 0, 78, 36 
0.000000, 72, 0, 0, 0, 0, 79, 36 
0.000000, 72, 0, 0, 0, 0, 80, 36 
0.000000, 74, 0, 0, 0, 0, 80, 37 
0.000000, 74, 0, 0, 0, 0, 81, 37 
0.000000, 76, 0, 0, 0, 0, 81, 38 
0.000000, 76, 0, 0, 0, 0, 82, 38 
0.000000, 76, 0, 0, 0, 0, 83, 38 
