0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 0, 0, 0, 0, 0, 2, 0 
0.000000, 0, 0, 0, 0, 0, 3, 0 
0.000000, 2, 0, 0, 0, 0, 3, 1 
0.000000, 2, 0, 0, 0, 0, 4, 1 
0.000000, 2, 0, 0, 0, 0, 5, 1 
0.000000, 2, 0, 0, 0, 0, 6, 1 
0.000000, 2, 0, 0, 0, 0, 7, 1 
0.000000, 4, 0, 0, 0, 0, 7, 2 
0.000000, 4, 0, 0, 0, 0, 8, 2 
0.000000, 4, 0, 0, 0, 0, 9, 2 
0.000000, 4, 0, 0, 0, 0, 10, 2 
0.000000, 6, 0, 0, 0, 0, 10, 3 
0.000000, 6, 0, 0, 0, 0, 11, 3 
0.000000, 6, 0, 0, 0, 0, 12, 3 
0.000000, 8, 0, 0, 0, 0, 12, 4 
0.000000, 8, 0, 0, 0, 0, 13, 4 
0.000000, 10, 0, 0, 0, 0, 13, 5 
0.000000, 10, 0, 0, 0, 0, 14, 5 
0.000000, 10, 0, 0, 0, 0, 15, 5 
0.000000, 10, 0, 0, 0, 0, 16, 5 
0.000000, 10, 0, 0, 0, 0, 17, 5 
0.000000, 12, 0, 0, 0, 0, 17, 6 
0.000000, 12, 0, 0, 0, 0, 18, 6 
0.000000, 14, 0, 0, 0, 0, 18, 7 
0.000000, 14, 0, 0, 0, 0, 19, 7 
0.000000, 14, 0, 0, 0, 0, 20, 7 
0.000000, 14, 0, 0, 0, 0, 21, 7 
0.000000, 14, 0, 0, 0, 0, 22, 7 
0.000000, 14, 0, 0, 0, 0, 23, 7 
0.000000, 14, 0, 0, 0, 0, 24, 7 
0.000000, 14, 0, 0, 0, 0, 25, 7 
0.000000, 14, 0, 0, 0, 0, 26, 7 
0.000000, 14, 0, 0, 0, 0, 27, 7 
0.000000, 14, 0, 0, 0, 0, 28, 7 
0.000000, 14, 0, 0, 0, 0, 29, 7 
0.000000, 14, 0, 0, 0, 0, 30, 7 
0.000000, 14, 0, 0, 0, 0, 31, 7 
0.000000, 16, 0, 0, 0, 0, 31, 8 
0.000000, 16, 0, 0, 0, 0, 32, 8 
0.000000, 18, 0, 0, 0, 0, 32, 9 
0.000000, 18, 0, 0, 0, 0, 33, 9 
0.000000, 20, 0, 0, 0, 0, 33, 10 
0.000000, 20, 0, 0, 0, 0, 34, 10 
0.000000, 22, 0, 0, 0, 0, 34, 11 
0.000000, 22, 0, 0, 0, 0, 35, 11 
0.000000, 24, 0, 0, 0, 0, 35, 12 
0.000000, 24, 0, 0, 0, 0, 36, 12 
0.000000, 26, 0, 0, 0, 0, 36, 13 
0.000000, 26, 0, 0, 0, 0, 37, 13 
0.000000, 26, 0, 0, 0, 0, 38, 13 
0.000000, 26, 0, 0, 0, 0, 39, 13 
0.000000, 26, 0, 0, 0, 0, 40, 13 
0.000000, 26, 0, 0, 0, 0, 41, 13 
0.000000, 26, 0, 0, 0, 0, 42, 13 
0.000000, 28, 0, 0, 0, 0, 42, 14 
0.000000, 28, 0, 0, 0, 0, 43, 14 
0.000000, 28, 0, 0, 0, 0, 44, 14 
0.000000, 28, 0, 0, 0, 0, 45, 14 
0.000000, 28, 0, 0, 0, 0, 46, 14 
0.000000, 30, 0, 0, 0, 0, 46, 15 
0.000000, 30, 0, 0, 0, 0, 47, 15 
0.000000, 32, 0, 0, 0, 0, 47, 16 
0.000000, 32, 0, 0, 0, 0, 48, 16 
0.000000, 34, 0, 0, 0, 0, 48, 17 
0.000000, 34, 0, 0, 0, 0, 49, 17 
0.000000, 36, 0, 0, 0, 0, 49, 18 
0.000000, 36, 0, 0, 0, 0, 50, 18 
0.000000, 36, 0, 0, 0, 0, 51, 18 
0.000000, 36, 0, 0, 0, 0, 52, 18 
0.000000, 36, 0, 0, 0, 0, 53, 18 
0.000000, 38, 0, 0, 0, 0, 53, 19 
0.000000, 38, 0, 0, 0, 0, 54, 19 
0.000000, 38, 0, 0, 0, 0, 55, 19 
0.000000, 40, 0, 0, 0, 0, 55, 20 
0.000000, 40, 0, 0, 0, 0, 56, 20 
0.000000, 40, 0, 0, 0, 0, 57, 20 
0.000000, 42, 0, 0, 0, 0, 57, 21 
0.000000, 42, 0, 0, 0, 0, 58, 21 
0.000000, 44, 0, 0, 0, 0, 58, 22 
0.000000, 44, 0, 0, 0, 0, 59, 22 
0.000000, 44, 0, 0, 0, 0, 60, 22 
0.000000, 44, 0, 0, 0, 0, 61, 22 
0.000000, 44, 0, 0, 0, 0, 62, 22 
0.000000, 44, 0, 0, 0, 0, 63, 22 
0.000000, 46, 0, 0, 0, 0, 63, 23 
0.000000, 46, 0, 0, 0, 0, 64, 23 
0.000000, 46, 0, 0, 0, 0, 65, 23 
0.000000, 48, 0, 0, 0, 0, 65, 24 
0.000000, 48, 0, 0, 0, 0, 66, 24 
0.000000, 48, 0, 0, 0, 0, 67, 24 
0.000000, 48, 0, 0, 0, 0, 68, 24 
0.000000, 50, 0, 0, 0, 0, 68, 25 
0.000000, 50, 0, 0, 0, 0, 69, 25 
0.000000, 50, 0, 0, 0, 0, 70, 25 
0.000000, 50, 0, 0, 0, 0, 71, 25 
0.000000, 52, 0, 0, 0, 0, 71, 26 
0.000000, 52, 0, 0, 0, 0, 72, 26 
0.000000, 52, 0, 0, 0, 0, 73, 26 
0.000000, 54, 0, 0, 0, 0, 73, 27 
0.000000, 54, 0, 0, 0, 0, 74, 27 
0.000000, 56, 0, 0, 0, 0, 74, 28 
0.000000, 56, 0, 0, 0, 0, 75, 28 
0.000000, 58, 0, 0, 0, 0, 75, 29 
0.000000, 58, 0, 0, 0, 0, 76, 29 
0.000000, 58, 0, 0, 0, 0, 77, 29 
0.000000, 58, 0, 0, 0, 0, 78, 29 
0.000000, 58, 0, 0, 0, 0, 79, 29 
0.000000, 60, 0, 0, 0, 0, 79, 30 
0.000000, 60, 0, 0, 0, 0, 80, 30 
0.000000, 60, 0, 0, 0, 0, 81, 30 
0.000000, 62, 0, 0, 0, 0, 81, 31 
0.000000, 62, 0, 0, 0, 0, 82, 31 
0.000000, 62, 0, 0, 0, 0, 83, 31 
0.000000, 64, 0, 0, 0, 0, 83, 32 
0.000000, 64, 0, 0, 0, 0, 84, 32 
0.000000, 64, 0, 0, 0, 0, 85, 32 
0.000000, 64, 0, 0, 0, 0, 86, 32 
0.000000, 64, 0, 0, 0, 0, 87, 32 
0.000000, 64, 0, 0, 0, 0, 88, 32 
0.000000, 66, 0, 0, 0, 0, 88, 33 
